URL,Parágrafo/Bloco,Sentença,Português,Resp. Português,Rev. Português,Glosas,Resp. Glosas,Arquivo Vídeo,Resp. Vídeo,Rev. Tradução,Mocap,Vídeo Mocap,Elan,Resp.  Elan,Rev. Elan
http://portal.proec.unicamp.br/malunga/,0,Pular para o conteúdo,,,,,,,,,,,,,
http://portal.proec.unicamp.br/malunga/,1,"PROEC

SOBRE A PROEC
PRÓ-REITOR DE EXTENSÃO E CULTURA
ASSESSORES
ASSISTENTES TÉCNICOS
PROJETOS ESTRATÉGICOS

",,,,,,,,,,,,,
http://portal.proec.unicamp.br/malunga/,2,PROEC,,,,,,,,,,,,,
http://portal.proec.unicamp.br/malunga/,3,SOBRE A PROEC,,,,,,,,,,,,,
http://portal.proec.unicamp.br/malunga/,4,PRÓ-REITOR DE EXTENSÃO E CULTURA,,,,,,,,,,,,,
http://portal.proec.unicamp.br/malunga/,5,ASSESSORES,,,,,,,,,,,,,
http://portal.proec.unicamp.br/malunga/,6,ASSISTENTES TÉCNICOS,,,,,,,,,,,,,
http://portal.proec.unicamp.br/malunga/,7,PROJETOS ESTRATÉGICOS,,,,,,,,,,,,,
http://portal.proec.unicamp.br/malunga/,8,"DIRETORIAS

CULTURA
EXTENSÃO

",,,,,,,,,,,,,
http://portal.proec.unicamp.br/malunga/,9,DIRETORIAS,,,,,,,,,,,,,
http://portal.proec.unicamp.br/malunga/,10,CULTURA,,,,,,,,,,,,,
http://portal.proec.unicamp.br/malunga/,11,EXTENSÃO,,,,,,,,,,,,,
http://portal.proec.unicamp.br/malunga/,12,"APOIO

ADMINISTRATIVO
COMUNICAÇÃO
MIDIALOGIA

",,,,,,,,,,,,,
http://portal.proec.unicamp.br/malunga/,13,APOIO,,,,,,,,,,,,,
http://portal.proec.unicamp.br/malunga/,14,ADMINISTRATIVO,,,,,,,,,,,,,
http://portal.proec.unicamp.br/malunga/,15,COMUNICAÇÃO,,,,,,,,,,,,,
http://portal.proec.unicamp.br/malunga/,16,MIDIALOGIA,,,,,,,,,,,,,
http://portal.proec.unicamp.br/malunga/,17,"CONSELHOS

CONCULT

",,,,,,,,,,,,,
http://portal.proec.unicamp.br/malunga/,18,CONSELHOS,,,,,,,,,,,,,
http://portal.proec.unicamp.br/malunga/,19,CONCULT,,,,,,,,,,,,,
http://portal.proec.unicamp.br/malunga/,20,CONTATOS,,,,,,,,,,,,,
http://portal.proec.unicamp.br/malunga/,21,Sobre o Museu Exploratório de Ciências da Unicamp,,,,,,,,,,,,,
http://portal.proec.unicamp.br/malunga/,22,"O Museu Exploratório de Ciências da Unicamp é uma entidade educativa, de difusão e de disseminação científica.",,,,,,,,,,,,,
http://portal.proec.unicamp.br/malunga/,23,"Nossa missão é estimular a curiosidade sobre o mundo e seus fenômenos, promovendo uma postura autônoma e criativa na busca do conhecimento científico.",,,,,,,,,,,,,
http://portal.proec.unicamp.br/malunga/,24,"O Museu possui um espaço de exploração interativa permanente, organiza exposições para promover participação ativa dos visitantes e promove oficinas de cunho educacional envolvendo exploração e resolução de problemas.",,,,,,,,,,,,,
http://portal.proec.unicamp.br/malunga/,25,"Essas oficinas apresentam o método científico na prática, incentivam os participantes a observarem o mundo ao seu redor, a apropriar-se do conhecimento e refletir sobre o mesmo.",,,,,,,,,,,,,
http://portal.proec.unicamp.br/malunga/,26,Visão,,,,,,,,,,,,,
http://portal.proec.unicamp.br/malunga/,27,"O museu visa a inserção dos visitantes numa perspectiva de educação científica que busca integrar as pessoas à sociedade na qual estão inseridas, pela superação do olhar meramente técnico e científico.",,,,,,,,,,,,,
http://portal.proec.unicamp.br/malunga/,28,"Para além das questões diretamente abordadas nos programas, pretendemos expandir o campo de visão dos participantes até as dimensões sócio-econômicas da apropriação do conhecimento científico-tecnológico, estimulando o senso crítico de forma divertida e inteligente.",,,,,,,,,,,,,
http://portal.proec.unicamp.br/malunga/,29,Valores,,,,,,,,,,,,,
http://portal.proec.unicamp.br/malunga/,30,"A valorização do convívio social, o lazer e a acessibilidade são prioridades em todos os programas do Museu.",,,,,,,,,,,,,
http://portal.proec.unicamp.br/malunga/,31,"Sempre buscando estimular o trabalho cooperativo entre os participantes, em paralelo à divulgação científica.",,,,,,,,,,,,,
http://portal.proec.unicamp.br/malunga/,32,"Rua da Reitoria, 121Cidade Universitária Zeferino VazBarão Geraldo – Campinas (SP)CEP 13083-872Telefone (19) 3521.4741proec@unicamp.br",,,,,,,,,,,,,
http://portal.proec.unicamp.br/malunga/,33,ACESSO RÁPIDO,,,,,,,,,,,,,
http://portal.proec.unicamp.br/malunga/,34,MEMORIAL COVID-19,,,,,,,,,,,,,
http://portal.proec.unicamp.br/malunga/,35,EXTECAMP,,,,,,,,,,,,,
http://portal.proec.unicamp.br/malunga/,36,MALUNGA - CURSINHO POPULAR,,,,,,,,,,,,,
http://portal.proec.unicamp.br/malunga/,37,EFEMÉRIDES 2022,,,,,,,,,,,,,
http://portal.proec.unicamp.br/malunga/,38,FÓRUNS PERMANENTES,,,,,,,,,,,,,
http://portal.proec.unicamp.br/malunga/,39,MUSEU EXPLORATÓRIO DE CIÊNCIAS,,,,,,,,,,,,,
http://portal.proec.unicamp.br/malunga/,40,Assinne nossa  Newsletter,,,,,,,,,,,,,
http://portal.proec.unicamp.br/malunga/,41,© All rights reserved,,,,,,,,,,,,,
http://portal.proec.unicamp.br/malunga/,42,"
Twitter

",,,,,,,,,,,,,
http://portal.proec.unicamp.br/malunga/,43,"
Facebook

",,,,,,,,,,,,,
http://portal.proec.unicamp.br/malunga/,44,"
Dribbble

",,,,,,,,,,,,,
http://portal.proec.unicamp.br/malunga/,45,"
Youtube

",,,,,,,,,,,,,
http://portal.proec.unicamp.br/malunga/,46,"
Pinterest

",,,,,,,,,,,,,
http://portal.proec.unicamp.br/malunga/,47,"
Medium

",,,,,,,,,,,,,
http://portal.proec.unicamp.br/malunga/,48,Acessibilidade,,,,,,,,,,,,,
http://portal.proec.unicamp.br/malunga/,49,Modos de acessibilidade,,,,,,,,,,,,,
http://portal.proec.unicamp.br/malunga/,50,Experiência legível,,,,,,,,,,,,,
http://portal.proec.unicamp.br/malunga/,51,Experiência visualmente agradável,,,,,,,,,,,,,
http://portal.proec.unicamp.br/malunga/,52,Orientação Fácil,,,,,,,,,,,,,
http://portal.proec.unicamp.br/malunga/,53,X,,,,,,,,,,,,,
