URL,Parágrafo/Bloco,Sentença,Português,Resp. Português,Rev. Português,Glosas,Resp. Glosas,Arquivo Vídeo,Resp. Vídeo,Rev. Tradução,Mocap,Vídeo Mocap,Elan,Resp.  Elan,Rev. Elan
http://portal.proec.unicamp.br/museu-exploratorio-de-ciencias/,0,Pular para o conteúdo,,,,,,,,,,,,,
http://portal.proec.unicamp.br/museu-exploratorio-de-ciencias/,1,HOME,,,,,,,,,,,,,
http://portal.proec.unicamp.br/museu-exploratorio-de-ciencias/,2,"ATIVIDADES

EXPOSIÇÕES
PROGRAMAS
OFICINAS
ESTATÍSTICAS
PROGRAMAÇÃO

",,,,,,,,,,,,,
http://portal.proec.unicamp.br/museu-exploratorio-de-ciencias/,3,ATIVIDADES,,,,,,,,,,,,,
http://portal.proec.unicamp.br/museu-exploratorio-de-ciencias/,4,EXPOSIÇÕES,,,,,,,,,,,,,
http://portal.proec.unicamp.br/museu-exploratorio-de-ciencias/,5,PROGRAMAS,,,,,,,,,,,,,
http://portal.proec.unicamp.br/museu-exploratorio-de-ciencias/,6,OFICINAS,,,,,,,,,,,,,
http://portal.proec.unicamp.br/museu-exploratorio-de-ciencias/,7,ESTATÍSTICAS,,,,,,,,,,,,,
http://portal.proec.unicamp.br/museu-exploratorio-de-ciencias/,8,PROGRAMAÇÃO,,,,,,,,,,,,,
http://portal.proec.unicamp.br/museu-exploratorio-de-ciencias/,9,"AGENDAMENTOS

AGENDAMENTO PRESENCIAL
AGENDAMENTO ONLINE

",,,,,,,,,,,,,
http://portal.proec.unicamp.br/museu-exploratorio-de-ciencias/,10,AGENDAMENTOS,,,,,,,,,,,,,
http://portal.proec.unicamp.br/museu-exploratorio-de-ciencias/,11,AGENDAMENTO PRESENCIAL,,,,,,,,,,,,,
http://portal.proec.unicamp.br/museu-exploratorio-de-ciencias/,12,AGENDAMENTO ONLINE,,,,,,,,,,,,,
http://portal.proec.unicamp.br/museu-exploratorio-de-ciencias/,13,CONTATO,,,,,,,,,,,,,
http://portal.proec.unicamp.br/museu-exploratorio-de-ciencias/,14,"
Facebook
 ",,,,,,,,,,,,,
http://portal.proec.unicamp.br/museu-exploratorio-de-ciencias/,15,"
Instagram
 ",,,,,,,,,,,,,
http://portal.proec.unicamp.br/museu-exploratorio-de-ciencias/,16,"
Youtube
 ",,,,,,,,,,,,,
http://portal.proec.unicamp.br/museu-exploratorio-de-ciencias/,17,"
Linkedin
 ",,,,,,,,,,,,,
http://portal.proec.unicamp.br/museu-exploratorio-de-ciencias/,18,Sobre o Museu Exploratório de Ciências da Unicamp,,,,,,,,,,,,,
http://portal.proec.unicamp.br/museu-exploratorio-de-ciencias/,19,"O Museu Exploratório de Ciências da Unicamp é uma entidade educativa, de difusão e de disseminação científica.",,,,,,,,,,,,,
http://portal.proec.unicamp.br/museu-exploratorio-de-ciencias/,20,"Nossa missão é estimular a curiosidade sobre o mundo e seus fenômenos, promovendo uma postura autônoma e criativa na busca do conhecimento científico.",,,,,,,,,,,,,
http://portal.proec.unicamp.br/museu-exploratorio-de-ciencias/,21,"O Museu possui um espaço de exploração interativa permanente, organiza exposições para promover participação ativa dos visitantes e promove oficinas de cunho educacional envolvendo exploração e resolução de problemas.",,,,,,,,,,,,,
http://portal.proec.unicamp.br/museu-exploratorio-de-ciencias/,22,"Essas oficinas apresentam o método científico na prática, incentivam os participantes a observarem o mundo ao seu redor, a apropriar-se do conhecimento e refletir sobre o mesmo.",,,,,,,,,,,,,
http://portal.proec.unicamp.br/museu-exploratorio-de-ciencias/,23,Visão,,,,,,,,,,,,,
http://portal.proec.unicamp.br/museu-exploratorio-de-ciencias/,24,"O museu visa a inserção dos visitantes numa perspectiva de educação científica que busca integrar as pessoas à sociedade na qual estão inseridas, pela superação do olhar meramente técnico e científico.",,,,,,,,,,,,,
http://portal.proec.unicamp.br/museu-exploratorio-de-ciencias/,25,"Para além das questões diretamente abordadas nos programas, pretendemos expandir o campo de visão dos participantes até as dimensões sócio-econômicas da apropriação do conhecimento científico-tecnológico, estimulando o senso crítico de forma divertida e inteligente.",,,,,,,,,,,,,
http://portal.proec.unicamp.br/museu-exploratorio-de-ciencias/,26,Valores,,,,,,,,,,,,,
http://portal.proec.unicamp.br/museu-exploratorio-de-ciencias/,27,"A valorização do convívio social, o lazer e a acessibilidade são prioridades em todos os programas do Museu.",,,,,,,,,,,,,
http://portal.proec.unicamp.br/museu-exploratorio-de-ciencias/,28,"Sempre buscando estimular o trabalho cooperativo entre os participantes, em paralelo à divulgação científica.",,,,,,,,,,,,,
http://portal.proec.unicamp.br/museu-exploratorio-de-ciencias/,29,Equipe MEC,,,,,,,,,,,,,
http://portal.proec.unicamp.br/museu-exploratorio-de-ciencias/,30,Prof.,,,,,,,,,,,,,
http://portal.proec.unicamp.br/museu-exploratorio-de-ciencias/,31,Dr.,,,,,,,,,,,,,
http://portal.proec.unicamp.br/museu-exploratorio-de-ciencias/,32,André Santanchè,,,,,,,,,,,,,
http://portal.proec.unicamp.br/museu-exploratorio-de-ciencias/,33,Profa.,,,,,,,,,,,,,
http://portal.proec.unicamp.br/museu-exploratorio-de-ciencias/,34,Dra.,,,,,,,,,,,,,
http://portal.proec.unicamp.br/museu-exploratorio-de-ciencias/,35,Paula Dornhofer Paro Costa,,,,,,,,,,,,,
http://portal.proec.unicamp.br/museu-exploratorio-de-ciencias/,36,Marli Lima Silva,,,,,,,,,,,,,
http://portal.proec.unicamp.br/museu-exploratorio-de-ciencias/,37,Davi William Amâncio,,,,,,,,,,,,,
http://portal.proec.unicamp.br/museu-exploratorio-de-ciencias/,38,Dante Galluzzi Polesi,,,,,,,,,,,,,
http://portal.proec.unicamp.br/museu-exploratorio-de-ciencias/,39,Giuliano Felipe Videira Gelain,,,,,,,,,,,,,
http://portal.proec.unicamp.br/museu-exploratorio-de-ciencias/,40,Ivan Matheus Rodrigues Macedo,,,,,,,,,,,,,
http://portal.proec.unicamp.br/museu-exploratorio-de-ciencias/,41,Mairon Elme da Silva,,,,,,,,,,,,,
http://portal.proec.unicamp.br/museu-exploratorio-de-ciencias/,42,Pamela Leite de Moraes,,,,,,,,,,,,,
http://portal.proec.unicamp.br/museu-exploratorio-de-ciencias/,43,Rafael Rodrigues Ferreira,,,,,,,,,,,,,
http://portal.proec.unicamp.br/museu-exploratorio-de-ciencias/,44,"Rua da Reitoria, 121Cidade Universitária Zeferino VazBarão Geraldo – Campinas (SP)CEP 13083-872Telefone (19) 3521.4741proec@unicamp.br",,,,,,,,,,,,,
http://portal.proec.unicamp.br/museu-exploratorio-de-ciencias/,45,ACESSO RÁPIDO,,,,,,,,,,,,,
http://portal.proec.unicamp.br/museu-exploratorio-de-ciencias/,46,MEMORIAL COVID-19,,,,,,,,,,,,,
http://portal.proec.unicamp.br/museu-exploratorio-de-ciencias/,47,EXTECAMP,,,,,,,,,,,,,
http://portal.proec.unicamp.br/museu-exploratorio-de-ciencias/,48,MALUNGA - CURSINHO POPULAR,,,,,,,,,,,,,
http://portal.proec.unicamp.br/museu-exploratorio-de-ciencias/,49,EFEMÉRIDES 2022,,,,,,,,,,,,,
http://portal.proec.unicamp.br/museu-exploratorio-de-ciencias/,50,FÓRUNS PERMANENTES,,,,,,,,,,,,,
http://portal.proec.unicamp.br/museu-exploratorio-de-ciencias/,51,MUSEU EXPLORATÓRIO DE CIÊNCIAS,,,,,,,,,,,,,
http://portal.proec.unicamp.br/museu-exploratorio-de-ciencias/,52,Assinne nossa  Newsletter,,,,,,,,,,,,,
http://portal.proec.unicamp.br/museu-exploratorio-de-ciencias/,53,© All rights reserved,,,,,,,,,,,,,
http://portal.proec.unicamp.br/museu-exploratorio-de-ciencias/,54,"
Twitter

",,,,,,,,,,,,,
http://portal.proec.unicamp.br/museu-exploratorio-de-ciencias/,55,"
Facebook

",,,,,,,,,,,,,
http://portal.proec.unicamp.br/museu-exploratorio-de-ciencias/,56,"
Dribbble

",,,,,,,,,,,,,
http://portal.proec.unicamp.br/museu-exploratorio-de-ciencias/,57,"
Youtube

",,,,,,,,,,,,,
http://portal.proec.unicamp.br/museu-exploratorio-de-ciencias/,58,"
Pinterest

",,,,,,,,,,,,,
http://portal.proec.unicamp.br/museu-exploratorio-de-ciencias/,59,"
Medium

",,,,,,,,,,,,,
http://portal.proec.unicamp.br/museu-exploratorio-de-ciencias/,60,Acessibilidade,,,,,,,,,,,,,
http://portal.proec.unicamp.br/museu-exploratorio-de-ciencias/,61,Modos de acessibilidade,,,,,,,,,,,,,
http://portal.proec.unicamp.br/museu-exploratorio-de-ciencias/,62,Experiência legível,,,,,,,,,,,,,
http://portal.proec.unicamp.br/museu-exploratorio-de-ciencias/,63,Experiência visualmente agradável,,,,,,,,,,,,,
http://portal.proec.unicamp.br/museu-exploratorio-de-ciencias/,64,Orientação Fácil,,,,,,,,,,,,,
http://portal.proec.unicamp.br/museu-exploratorio-de-ciencias/,65,X,,,,,,,,,,,,,
