URL,Parágrafo/Bloco,Sentença,Português,Resp. Português,Rev. Português,Glosas,Resp. Glosas,Arquivo Vídeo,Resp. Vídeo,Rev. Tradução,Mocap,Vídeo Mocap,Elan,Resp.  Elan,Rev. Elan
http://portal.proec.unicamp.br/assessores/,35,Marco Aurélio Cremasco					,,,,,,,,,,,,,
http://portal.proec.unicamp.br/assessores/,36,"
ASSESSOR
",,,,,,,,,,,,,
http://portal.proec.unicamp.br/assessores/,37,José Luiz da Costa					,,,,,,,,,,,,,
http://portal.proec.unicamp.br/assessores/,38,"
						Simone Cristina Ferreira					",,,,,,,,,,,,,
http://portal.proec.unicamp.br/assessores/,39,"
ASSESSORA DE GABINETE
",,,,,,,,,,,,,
http://portal.proec.unicamp.br/assessores/,40,"Rua da Reitoria, 121Cidade Universitária Zeferino VazBarão Geraldo – Campinas (SP)CEP 13083-872Telefone (19) 3521.4741proec@unicamp.br",,,,,,,,,,,,,
http://portal.proec.unicamp.br/assessores/,41,ACESSO RÁPIDO,,,,,,,,,,,,,
http://portal.proec.unicamp.br/assessores/,42,MEMORIAL COVID-19,,,,,,,,,,,,,
http://portal.proec.unicamp.br/assessores/,43,EXTECAMP,,,,,,,,,,,,,
http://portal.proec.unicamp.br/assessores/,44,MALUNGA - CURSINHO POPULAR,,,,,,,,,,,,,
http://portal.proec.unicamp.br/assessores/,45,EFEMÉRIDES 2022,,,,,,,,,,,,,
http://portal.proec.unicamp.br/assessores/,46,FÓRUNS PERMANENTES,,,,,,,,,,,,,
http://portal.proec.unicamp.br/assessores/,47,MUSEU EXPLORATÓRIO DE CIÊNCIAS,,,,,,,,,,,,,
http://portal.proec.unicamp.br/assessores/,48,Assinne nossa  Newsletter,,,,,,,,,,,,,
http://portal.proec.unicamp.br/assessores/,49,© All rights reserved.,,,,,,,,,,,,,
http://portal.proec.unicamp.br/assessores/,50,ProEC Unicamp – design by Claudio Moreira – Midialogia/ProEC,,,,,,,,,,,,,
http://portal.proec.unicamp.br/assessores/,51,Claudio Moreira,,,,,,,,,,,,,
http://portal.proec.unicamp.br/assessores/,52,"
Facebook-f
 ",,,,,,,,,,,,,
http://portal.proec.unicamp.br/assessores/,53,"
Instagram
 ",,,,,,,,,,,,,
http://portal.proec.unicamp.br/assessores/,54,"
Twitter
 ",,,,,,,,,,,,,
http://portal.proec.unicamp.br/assessores/,55,"
Youtube
 ",,,,,,,,,,,,,
http://portal.proec.unicamp.br/assessores/,56,Acessibilidade,,,,,,,,,,,,,
http://portal.proec.unicamp.br/assessores/,57,Modos de acessibilidade,,,,,,,,,,,,,
http://portal.proec.unicamp.br/assessores/,58,Experiência legível,,,,,,,,,,,,,
http://portal.proec.unicamp.br/assessores/,59,Experiência visualmente agradável,,,,,,,,,,,,,
http://portal.proec.unicamp.br/assessores/,60,Orientação Fácil,,,,,,,,,,,,,
http://portal.proec.unicamp.br/assessores/,61,X,,,,,,,,,,,,,
