URL,Parágrafo/Bloco,Sentença,Português,Resp. Português,Rev. Português,Glosas,Resp. Glosas,Arquivo Vídeo,Resp. Vídeo,Rev. Tradução,Mocap,Vídeo Mocap,Elan,Resp.  Elan,Rev. Elan
http://portal.proec.unicamp.br/midialogia-proec/,0,Pular para o conteúdo,,,,,,,,,,,,,
http://portal.proec.unicamp.br/midialogia-proec/,1,"PROEC

SOBRE A PROEC
PRÓ-REITOR DE EXTENSÃO E CULTURA
ASSESSORES
ASSISTENTES TÉCNICOS
PROJETOS ESTRATÉGICOS

",,,,,,,,,,,,,
http://portal.proec.unicamp.br/midialogia-proec/,2,PROEC,,,,,,,,,,,,,
http://portal.proec.unicamp.br/midialogia-proec/,3,SOBRE A PROEC,,,,,,,,,,,,,
http://portal.proec.unicamp.br/midialogia-proec/,4,PRÓ-REITOR DE EXTENSÃO E CULTURA,,,,,,,,,,,,,
http://portal.proec.unicamp.br/midialogia-proec/,5,ASSESSORES,,,,,,,,,,,,,
http://portal.proec.unicamp.br/midialogia-proec/,6,ASSISTENTES TÉCNICOS,,,,,,,,,,,,,
http://portal.proec.unicamp.br/midialogia-proec/,7,PROJETOS ESTRATÉGICOS,,,,,,,,,,,,,
http://portal.proec.unicamp.br/midialogia-proec/,8,"DIRETORIAS

CULTURA
EXTENSÃO

",,,,,,,,,,,,,
http://portal.proec.unicamp.br/midialogia-proec/,9,DIRETORIAS,,,,,,,,,,,,,
http://portal.proec.unicamp.br/midialogia-proec/,10,CULTURA,,,,,,,,,,,,,
http://portal.proec.unicamp.br/midialogia-proec/,11,EXTENSÃO,,,,,,,,,,,,,
http://portal.proec.unicamp.br/midialogia-proec/,12,"APOIO

ADMINISTRATIVO
COMUNICAÇÃO
MIDIALOGIA

",,,,,,,,,,,,,
http://portal.proec.unicamp.br/midialogia-proec/,13,APOIO,,,,,,,,,,,,,
http://portal.proec.unicamp.br/midialogia-proec/,14,ADMINISTRATIVO,,,,,,,,,,,,,
http://portal.proec.unicamp.br/midialogia-proec/,15,COMUNICAÇÃO,,,,,,,,,,,,,
http://portal.proec.unicamp.br/midialogia-proec/,16,MIDIALOGIA,,,,,,,,,,,,,
http://portal.proec.unicamp.br/midialogia-proec/,17,"CONSELHOS

CONCULT

",,,,,,,,,,,,,
http://portal.proec.unicamp.br/midialogia-proec/,18,CONSELHOS,,,,,,,,,,,,,
http://portal.proec.unicamp.br/midialogia-proec/,19,CONCULT,,,,,,,,,,,,,
http://portal.proec.unicamp.br/midialogia-proec/,20,CONTATOS,,,,,,,,,,,,,
http://portal.proec.unicamp.br/midialogia-proec/,21,HOME,,,,,,,,,,,,,
http://portal.proec.unicamp.br/midialogia-proec/,22,SOLICITAÇÃO SERVIÇOS,,,,,,,,,,,,,
http://portal.proec.unicamp.br/midialogia-proec/,23,Sobre a Midialogia,,,,,,,,,,,,,
http://portal.proec.unicamp.br/midialogia-proec/,24,"A Midialogia é uma área de grande importância para a Pró-reitoria de Extensão e Cultura, pois a comunicação e os meios midiáticos são fundamentais para a disseminação da cultura e do conhecimento, e para a promoção do diálogo e da reflexão crítica sobre a sociedade e a cultura.",,,,,,,,,,,,,
http://portal.proec.unicamp.br/midialogia-proec/,25,"Através da Midialogia, é possível planejar e executar atividades de extensão e cultura que utilizem os meios de comunicação de forma ética e responsável, promovendo a formação crítica dos participantes e a reflexão sobre os impactos dos meios de comunicação na sociedade e na cultura.",,,,,,,,,,,,,
http://portal.proec.unicamp.br/midialogia-proec/,26,"Por exemplo, é possível desenvolver projetos de produção de conteúdos midiáticos que abordem temas relevantes para a sociedade, como direitos humanos, meio ambiente, diversidade cultural, entre outros.",,,,,,,,,,,,,
