URL,Parágrafo,Sentença,Português,Rev. Português,Glosas,Resp. Glosas,Arquivo Vídeo,Resp. Vídeo,Rev. Tradução,Mocap,Vídeo Mocap,Elan,Resp. Elan,Rev. Elan,Video_Index
https://www.proec.unicamp.br/assistentes-tecnicos/,1,1,Ir para o conteúdo,,,,,,,,,,,,s001_talita.vp9.webm
https://www.proec.unicamp.br/assistentes-tecnicos/,2,1,PROEC,,,,,,,,,,,,s002_talita.vp9.webm
https://www.proec.unicamp.br/assistentes-tecnicos/,2,2,SOBRE A PROEC PRÓ-REITOR DE EXTENSÃO E CULTURA ASSESSORES ASSISTENTES TÉCNICOS PROJETOS ESTRATÉGICOS DIRETORIA ADMINISTRATIVA COMUNICAÇÃO TECNOLOGIA DA INFORMAÇÃO MIDIALOGIA CENTRO DE CONVENÇÕES FÓRUNS PERMANENTES MUSEU EXPLORATÓRIO DE CIÊNCIAS,,,,,,,,,,,,s003_talita.vp9.webm
https://www.proec.unicamp.br/assistentes-tecnicos/,2,3,DIRETORIAS,,,,,,,,,,,,s004_talita.vp9.webm
https://www.proec.unicamp.br/assistentes-tecnicos/,2,4,CULTURA EXTENSÃO,,,,,,,,,,,,s005_talita.vp9.webm
https://www.proec.unicamp.br/assistentes-tecnicos/,2,5,CONSELHOS,,,,,,,,,,,,s006_talita.vp9.webm
https://www.proec.unicamp.br/assistentes-tecnicos/,2,6,CONCULT CONEXT CCE,,,,,,,,,,,,s007_talita.vp9.webm
https://www.proec.unicamp.br/assistentes-tecnicos/,2,7,EDITAIS E BOLSAS,,,,,,,,,,,,s008_talita.vp9.webm
https://www.proec.unicamp.br/assistentes-tecnicos/,2,8,AÇÕES AFIRMATIVAS AÇÕES DE EXTENSÃO E CULTURA BOLSA DE EXTENSÃO 2º EDITAL DE APOIO A PROJETOS DE EXTENSÃO – PROEC – COLÉGIOS TÉCNICOS CULTURA CURRICULARIZAÇÃO DA EXTENSÃO EDITAIS PEC EDITAIS PEX SABERES INDÍGENAS,,,,,,,,,,,,s009_talita.vp9.webm
https://www.proec.unicamp.br/assistentes-tecnicos/,2,9,APOIO,,,,,,,,,,,,s010_talita.vp9.webm
https://www.proec.unicamp.br/assistentes-tecnicos/,2,10,DTIC COMUNICAÇÃO MIDIALOGIA,,,,,,,,,,,,s011_talita.vp9.webm
https://www.proec.unicamp.br/assistentes-tecnicos/,2,11,CONTATOS,,,,,,,,,,,,s012_talita.vp9.webm
https://www.proec.unicamp.br/assistentes-tecnicos/,3,1,SOBRE A PROEC,,,,,,,,,,,,s013_talita.vp9.webm
https://www.proec.unicamp.br/assistentes-tecnicos/,4,1,PRÓ-REITOR DE EXTENSÃO E CULTURA,,,,,,,,,,,,s014_talita.vp9.webm
https://www.proec.unicamp.br/assistentes-tecnicos/,5,1,ASSESSORES,,,,,,,,,,,,s015_talita.vp9.webm
https://www.proec.unicamp.br/assistentes-tecnicos/,6,1,ASSISTENTES TÉCNICOS,,,,,,,,,,,,s016_talita.vp9.webm
https://www.proec.unicamp.br/assistentes-tecnicos/,7,1,PROJETOS ESTRATÉGICOS,,,,,,,,,,,,s017_talita.vp9.webm
https://www.proec.unicamp.br/assistentes-tecnicos/,8,1,DIRETORIA ADMINISTRATIVA,,,,,,,,,,,,s018_talita.vp9.webm
https://www.proec.unicamp.br/assistentes-tecnicos/,9,1,COMUNICAÇÃO,,,,,,,,,,,,s019_talita.vp9.webm
https://www.proec.unicamp.br/assistentes-tecnicos/,10,1,TECNOLOGIA DA INFORMAÇÃO,,,,,,,,,,,,s020_talita.vp9.webm
https://www.proec.unicamp.br/assistentes-tecnicos/,11,1,MIDIALOGIA,,,,,,,,,,,,s021_talita.vp9.webm
https://www.proec.unicamp.br/assistentes-tecnicos/,12,1,CENTRO DE CONVENÇÕES,,,,,,,,,,,,s022_talita.vp9.webm
https://www.proec.unicamp.br/assistentes-tecnicos/,13,1,FÓRUNS PERMANENTES,,,,,,,,,,,,s023_talita.vp9.webm
https://www.proec.unicamp.br/assistentes-tecnicos/,14,1,MUSEU EXPLORATÓRIO DE CIÊNCIAS,,,,,,,,,,,,s024_talita.vp9.webm
https://www.proec.unicamp.br/assistentes-tecnicos/,15,1,CULTURA,,,,,,,,,,,,s025_talita.vp9.webm
https://www.proec.unicamp.br/assistentes-tecnicos/,16,1,EXTENSÃO,,,,,,,,,,,,s026_talita.vp9.webm
https://www.proec.unicamp.br/assistentes-tecnicos/,17,1,CONCULT,,,,,,,,,,,,s027_talita.vp9.webm
https://www.proec.unicamp.br/assistentes-tecnicos/,18,1,CONEXT,,,,,,,,,,,,s028_talita.vp9.webm
https://www.proec.unicamp.br/assistentes-tecnicos/,19,1,CCE,,,,,,,,,,,,s029_talita.vp9.webm
https://www.proec.unicamp.br/assistentes-tecnicos/,20,1,AÇÕES AFIRMATIVAS,,,,,,,,,,,,s030_talita.vp9.webm
https://www.proec.unicamp.br/assistentes-tecnicos/,21,1,AÇÕES DE EXTENSÃO E CULTURA,,,,,,,,,,,,s031_talita.vp9.webm
https://www.proec.unicamp.br/assistentes-tecnicos/,22,1,BOLSA DE EXTENSÃO,,,,,,,,,,,,s032_talita.vp9.webm
https://www.proec.unicamp.br/assistentes-tecnicos/,23,1,2º EDITAL DE APOIO A PROJETOS DE EXTENSÃO – PROEC – COLÉGIOS TÉCNICOS,,,,,,,,,,,,s033_talita.vp9.webm
https://www.proec.unicamp.br/assistentes-tecnicos/,24,1,CURRICULARIZAÇÃO DA EXTENSÃO,,,,,,,,,,,,s034_talita.vp9.webm
